company,year,roe,roa,roe_rank,roa_rank,rank_gap
PYPL,2020,20.944,5.9705,6,8,-2
GOOG,2020,18.0949,12.5992,7,5,2
BCS,2020,3.6796,0.1824,8,9,-1
PCG,2020,-6.1356,-1.3326,9,11,-2
AIG,2020,-8.7433,-0.9946,10,10,0
MCD,2020,-60.4545,8.9888,11,6,5
AAPL,2021,150.0713,26.9742,1,1,0
MSFT,2021,43.1522,18.3568,2,3,-1
GOOG,2021,30.2156,21.1633,3,2,1
NVDA,2021,25.6438,15.0464,4,4,0
AMZN,2021,24.134,7.9334,5,7,-2
INTC,2021,20.828,11.7977,6,6,0
PYPL,2021,19.1881,5.4998,7,8,-1
AIG,2021,14.5016,1.6646,8,9,-1
BCS,2021,10.2918,0.522,9,10,-1
PCG,2021,-0.4146,-0.0852,10,11,-1
MCD,2021,-163.9903,14.0104,11,5,6
AAPL,2022,196.9589,28.2924,1,1,0
MSFT,2022,43.6755,19.937,2,3,-1
NVDA,2022,36.6451,22.0698,3,2,1
AIG,2022,27.0084,2.1411,4,8,-4
GOOG,2022,23.4134,16.4188,5,4,1
PYPL,2022,11.9315,3.073,6,7,-1
BCS,2022,8.624,0.3946,7,10,-3
PCG,2022,7.8613,1.5289,8,9,-1
INTC,2022,7.7619,4.4025,9,6,3
AMZN,2022,-1.8638,-0.5883,10,11,-1
MCD,2022,-102.8983,12.2481,11,5,6
