company,year,roe,roa,roi,roe_rank
MSFT,2020,37.4298,14.6961,24.8935,2
INTC,2020,25.7891,13.6514,18.1833,3
NVDA,2020,22.9105,16.1479,19.6971,4
AMZN,2020,22.8374,6.6411,17.0348,5
PYPL,2020,20.944,5.9705,14.4887,6
GOOG,2020,18.0949,12.5992,17.0288,7
BCS,2020,3.6796,0.1824,0.602,8
PCG,2020,-6.1356,-1.3326,-2.2275,9
AIG,2020,-8.7433,-0.9946,-5.5694,10
MCD,2020,-60.4545,8.9888,17.2823,11
AAPL,2021,150.0713,26.9742,54.9839,1
MSFT,2021,43.1522,18.3568,31.9017,2
GOOG,2021,30.2156,21.1633,28.5354,3
NVDA,2021,25.6438,15.0464,18.9526,4
AMZN,2021,24.134,7.9334,17.8428,5
INTC,2021,20.828,11.7977,15.4134,6
PYPL,2021,19.1881,5.4998,14.0012,7
AIG,2021,14.5016,1.6646,10.0157,8
BCS,2021,10.2918,0.522,1.6696,9
PCG,2021,-0.4146,-0.0852,-0.148,10
MCD,2021,-163.9903,14.0104,24.3223,11
AAPL,2022,196.9589,28.2924,66.6994,1
MSFT,2022,43.6755,19.937,34.0575,2
NVDA,2022,36.6451,22.0698,25.9652,3
AIG,2022,27.0084,2.1411,16.2446,4
GOOG,2022,23.4134,16.4188,22.1426,5
PYPL,2022,11.9315,3.073,7.8818,6
BCS,2022,8.624,0.3946,1.284,7
PCG,2022,7.8613,1.5289,2.5615,8
INTC,2022,7.7619,4.4025,5.687,9
AMZN,2022,-1.8638,-0.5883,-1.2768,10
MCD,2022,-102.8983,12.2481,20.6601,11
