company,year,revenue,ebitda,ebitda_margin,ebitda_margin_rank
BCS,2018,28212.33,1.0,0.0035,10
SHLDQ,2018,16702.0,-52.0,-0.3113,11
PCG,2018,16759.0,-6664.0,-39.7637,12
MCD,2019,21364.4,10687.7,50.0257,1
INTC,2019,71965.0,32861.0,45.6625,2
MSFT,2019,125843.0,54641.0,43.42,3
NVDA,2019,11716.0,4066.0,34.7047,4
AAPL,2019,260174.0,76477.0,29.3946,5
GOOG,2019,161857.0,46012.0,28.4276,6
AIG,2019,49746.0,11817.0,23.7547,7
PYPL,2019,17772.0,3631.0,20.431,8
AMZN,2019,280522.0,36330.0,12.9509,9
BCS,2019,27621.9,1.0,0.0036,10
PCG,2019,17129.0,-6860.0,-40.049,11
MCD,2020,19207.8,9075.4,47.2485,1
INTC,2020,77867.0,35917.0,46.1261,2
MSFT,2020,143015.0,65755.0,45.9777,3
GOOG,2020,182527.0,54921.0,30.0892,4
NVDA,2020,10918.0,3227.0,29.5567,5
PCG,2020,18469.0,5223.0,28.2798,6
AAPL,2020,274515.0,77344.0,28.1748,7
PYPL,2020,21454.0,4478.0,20.8726,8
AIG,2020,43736.0,6821.0,15.5958,9
AMZN,2020,386064.0,48079.0,12.4536,10
BCS,2020,27947.54,1.0,0.0036,11
MCD,2021,23222.9,12224.1,52.6381,1
MSFT,2021,168088.0,81602.0,48.5472,2
INTC,2021,79024.0,31248.0,39.5424,3
GOOG,2021,257637.0,91155.0,35.3812,4
NVDA,2021,16675.0,5630.0,33.7631,5
AAPL,2021,365817.0,120233.0,32.867,6
AIG,2021,52057.0,15382.0,29.5484,7
PCG,2021,20642.0,5286.0,25.608,8
PYPL,2021,25371.0,5527.0,21.7847,9
AMZN,2021,469822.0,59312.0,12.6244,10
BCS,2021,30169.69,1.0,0.0033,11
MSFT,2022,198270.0,97843.0,49.3484,1
MCD,2022,23182.6,11241.6,48.4915,2
NVDA,2022,26914.0,11215.0,41.6698,3
AIG,2022,56437.0,20640.0,36.5718,4
AAPL,2022,394328.0,130541.0,33.1047,5
GOOG,2022,282836.0,90770.0,32.0928,6
PCG,2022,21680.0,5693.0,26.2592,7
INTC,2022,63054.0,15369.0,24.3743,8
PYPL,2022,27518.0,5154.0,18.7296,9
AMZN,2022,513983.0,54169.0,10.5391,10
BCS,2022,30868.08,1.0,0.0032,11
